baseline,sim,map,course,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,finished,t_course_s,v_course_mps,steps,sim_time_s,wall_time_s
deform,f1tenth,standard_ON,,4,st,nan,3,0.0917,0.0,inf,0.0,1.1723,0.0,nan,nan,0.3333,1.8,1.588,nan,nan,nan,nan,nan,114.2333
deform,native,standard_ON,,4,turtlebot3,nan,3,0.0467,0.0,inf,0.0,19.208,0.0,1.3333,0.0,0.3333,1.8,0.094,nan,nan,nan,nan,nan,504.9333
gcbf,f1tenth,standard_ON,,4,st,nan,1,0.558,0.0,inf,0.0,nan,2.0,0.0,0.5,0.0,3.339,0.0,nan,nan,nan,4000.0,40.0,29.4
gcbf,native,standard_ON,,4,dubins,nan,1,0.655,0.0,inf,0.0,nan,3.0,0.0,0.75,0.0,3.31,0.0,nan,nan,nan,1500.0,45.0,14.8
las,f1tenth,standard_ON,,3,st,,3,0.739,0.2,14.25,0.0255,nan,2.4,0.6,0.8,0.3,0.0,0.0,nan,nan,nan,nan,nan,549.4
leader_follower,f1tenth,standard_ON,,1,st,5.0,5,3.2426,1.0,6.044,0.0519,nan,1.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,605.4,6.054,0.226
leader_follower,f1tenth,standard_ON,,2,st,5.0,5,3.2818,1.0,6.53,0.0961,nan,2.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,654.0,6.54,0.828
leader_follower,f1tenth,standard_ON,,4,st,5.0,5,3.299,1.0,7.894,0.1589,nan,4.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,790.4,7.904,3.874
nmpc,f1tenth,standard_ON,zone,1,st,5.0,5,4.577,1.0,4.28,0.0733,nan,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,4.578,429.0,4.29,0.654
nmpc,f1tenth,standard_ON,zone,2,st,5.0,5,4.3968,1.0,4.6,0.1365,1.0096,2.0,0.0,1.0,0.0,0.6,0.0,0.0,inf,4.4156,461.0,4.61,2.484
nmpc,f1tenth,standard_ON,zone,4,st,5.0,5,4.3066,1.0,4.866,0.2581,1.9504,4.0,0.0,1.0,0.0,1.8,0.0,0.0,inf,4.3524,487.6,4.876,6.778
orca,f1tenth,standard_ON,zone,1,st,5.0,5,4.634,1.0,4.23,0.0742,nan,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,4.635,424.0,4.24,0.152
orca,f1tenth,standard_ON,zone,2,st,5.0,5,4.4776,1.0,4.544,0.1381,1.007,2.0,0.0,1.0,0.0,0.6,0.0,0.0,inf,4.496,455.4,4.554,0.28
orca,f1tenth,standard_ON,zone,4,st,5.0,5,4.339,1.0,4.81,0.2609,1.8002,4.0,0.0,1.0,0.0,1.8,0.0,0.0,inf,4.3796,482.0,4.82,0.728
orca,native,standard_ON,zone,1,rvo2_disc,5.0,5,4.9584,1.0,3.93,0.0798,nan,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,4.959,79.6,3.98,0.01
orca,native,standard_ON,zone,2,rvo2_disc,5.0,5,4.9134,1.0,4.02,0.156,1.0002,2.0,0.0,1.0,0.0,0.5986,0.0,0.0,inf,4.9152,81.4,4.07,0.01
orca,native,standard_ON,zone,4,rvo2_disc,5.0,5,4.8518,1.0,4.11,0.3053,1.5906,4.0,0.0,1.0,0.0,1.7898,0.0,0.0,inf,4.8568,83.2,4.16,0.02
